fullName,name,birthDate,currentAge,birthCity,birthStateProvince,birthCountry,height,weight,alternateCaptain,captain,rookie,shootsCatches,rosterStatus,timeOnIce20,assists20,goals20,pim20,shots20,games20,hits20,powerPlayGoals20,powerPlayPoints20,powerPlayTimeOnIce20,evenTimeOnIce20,penaltyMinutes20,faceOffPct20,shotPct20,gameWinningGoals20,overTimeGoals20,shortHandedGoals20,shortHandedPoints20,shortHandedTimeOnIce20,blocked20,plusMinus20,points20,shifts20,timeOnIcePerGame20,evenTimeOnIcePerGame20,shortHandedTimeOnIcePerGame20,powerPlayTimeOnIcePerGame20,ot20,shutouts20,ties20,wins20,losses20,saves20,powerPlaySaves20,shortHandedSaves20,evenSaves20,shortHandedShots20,evenShots20,powerPlayShots20,savePercentage20,goalAgainstAverage20,gamesStarted20,shotsAgainst20,goalsAgainst20,powerPlaySavePercentage20,shortHandedSavePercentage20,evenStrengthSavePercentage20,timeOnIce19,assists19,goals19,pim19,shots19,games19,hits19,powerPlayGoals19,powerPlayPoints19,powerPlayTimeOnIce19,evenTimeOnIce19,penaltyMinutes19,faceOffPct19,shotPct19,gameWinningGoals19,overTimeGoals19,shortHandedGoals19,shortHandedPoints19,shortHandedTimeOnIce19,blocked19,plusMinus19,points19,shifts19,timeOnIcePerGame19,evenTimeOnIcePerGame19,shortHandedTimeOnIcePerGame19,powerPlayTimeOnIcePerGame19,ot19,shutouts19,ties19,wins19,losses19,saves19,powerPlaySaves19,shortHandedSaves19,evenSaves19,shortHandedShots19,evenShots19,powerPlayShots19,savePercentage19,goalAgainstAverage19,gamesStarted19,shotsAgainst19,goalsAgainst19,powerPlaySavePercentage19,shortHandedSavePercentage19,evenStrengthSavePercentage19,timeOnIce18,assists18,goals18,pim18,shots18,games18,hits18,powerPlayGoals18,powerPlayPoints18,powerPlayTimeOnIce18,evenTimeOnIce18,penaltyMinutes18,faceOffPct18,shotPct18,gameWinningGoals18,overTimeGoals18,shortHandedGoals18,shortHandedPoints18,shortHandedTimeOnIce18,blocked18,plusMinus18,points18,shifts18,timeOnIcePerGame18,evenTimeOnIcePerGame18,shortHandedTimeOnIcePerGame18,powerPlayTimeOnIcePerGame18,ot18,shutouts18,ties18,wins18,losses18,saves18,powerPlaySaves18,shortHandedSaves18,evenSaves18,shortHandedShots18,evenShots18,powerPlayShots18,savePercentage18,goalAgainstAverage18,gamesStarted18,shotsAgainst18,goalsAgainst18,powerPlaySavePercentage18,shortHandedSavePercentage18,evenStrengthSavePercentage18,timeOnIce17,assists17,goals17,pim17,shots17,games17,hits17,powerPlayGoals17,powerPlayPoints17,powerPlayTimeOnIce17,evenTimeOnIce17,penaltyMinutes17,faceOffPct17,shotPct17,gameWinningGoals17,overTimeGoals17,shortHandedGoals17,shortHandedPoints17,shortHandedTimeOnIce17,blocked17,plusMinus17,points17,shifts17,timeOnIcePerGame17,evenTimeOnIcePerGame17,shortHandedTimeOnIcePerGame17,powerPlayTimeOnIcePerGame17,ot17,shutouts17,wins17,losses17,saves17,powerPlaySaves17,shortHandedSaves17,evenSaves17,shortHandedShots17,evenShots17,powerPlayShots17,savePercentage17,goalAgainstAverage17,gamesStarted17,shotsAgainst17,goalsAgainst17,powerPlaySavePercentage17,shortHandedSavePercentage17,evenStrengthSavePercentage17,timeOnIce16,assists16,goals16,pim16,shots16,games16,hits16,powerPlayGoals16,powerPlayPoints16,powerPlayTimeOnIce16,evenTimeOnIce16,penaltyMinutes16,faceOffPct16,shotPct16,gameWinningGoals16,overTimeGoals16,shortHandedGoals16,shortHandedPoints16,shortHandedTimeOnIce16,blocked16,plusMinus16,points16,shifts16,timeOnIcePerGame16,evenTimeOnIcePerGame16,shortHandedTimeOnIcePerGame16,powerPlayTimeOnIcePerGame16,ot16,shutouts16,wins16,losses16,saves16,powerPlaySaves16,shortHandedSaves16,evenSaves16,shortHandedShots16,evenShots16,powerPlayShots16,savePercentage16,goalAgainstAverage16,gamesStarted16,shotsAgainst16,goalsAgainst16,powerPlaySavePercentage16,shortHandedSavePercentage16,evenStrengthSavePercentage16,timeOnIce15,assists15,goals15,pim15,shots15,games15,hits15,powerPlayGoals15,powerPlayPoints15,powerPlayTimeOnIce15,evenTimeOnIce15,penaltyMinutes15,faceOffPct15,shotPct15,gameWinningGoals15,overTimeGoals15,shortHandedGoals15,shortHandedPoints15,shortHandedTimeOnIce15,blocked15,plusMinus15,points15,shifts15,timeOnIcePerGame15,evenTimeOnIcePerGame15,shortHandedTimeOnIcePerGame15,powerPlayTimeOnIcePerGame15,ot15,shutouts15,wins15,losses15,saves15,powerPlaySaves15,shortHandedSaves15,evenSaves15,shortHandedShots15,evenShots15,powerPlayShots15,savePercentage15,goalAgainstAverage15,gamesStarted15,shotsAgainst15,goalsAgainst15,powerPlaySavePercentage15,shortHandedSavePercentage15,evenStrengthSavePercentage15,timeOnIce14,assists14,goals14,pim14,shots14,games14,hits14,powerPlayGoals14,powerPlayPoints14,powerPlayTimeOnIce14,evenTimeOnIce14,penaltyMinutes14,faceOffPct14,shotPct14,gameWinningGoals14,overTimeGoals14,shortHandedGoals14,shortHandedPoints14,shortHandedTimeOnIce14,blocked14,plusMinus14,points14,shifts14,timeOnIcePerGame14,evenTimeOnIcePerGame14,shortHandedTimeOnIcePerGame14,powerPlayTimeOnIcePerGame14,ot14,shutouts14,wins14,losses14,saves14,powerPlaySaves14,shortHandedSaves14,evenSaves14,shortHandedShots14,evenShots14,powerPlayShots14,savePercentage14,goalAgainstAverage14,gamesStarted14,shotsAgainst14,goalsAgainst14,powerPlaySavePercentage14,shortHandedSavePercentage14,evenStrengthSavePercentage14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
Tristan Jarry,Goalie,1995-04-29,26,Surrey,BC,CAN,"6' 2""",194,False,False,False,L,Y,1926:29,0,0,0,0,33,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,58:22,0,0,0,1,3,0,20,12,907,114,24,769,25,828,132,0.921,2.4293,31,985,78,86.36363636363636,96.0,92.8743961352657,120:03,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,60:01,0,0,0,1,0,0,0,1,55,0,0,55,0,62,0,0.887097,3.498542,2,62,7,0.0,0.0,88.70967741935483,1363:56,0,0,0,0,26,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,52:27,0,0,0,2,2,0,14,6,624,93,21,510,22,561,104,0.908297,2.771396,23,687,63,89.42307692307693,95.45454545454545,90.9090909090909,58:45,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,58:45,0,0,0,0,0,0,1,22,0,0,22,0,24,1,0.88,3.06383,1,25,3,0.0,0.0,91.66666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0
Tuukka Rask,Goalie,1987-03-10,34,Savonlinna,Unknown,FIN,"6' 3""",176,False,False,False,L,Y,2401:47,0,0,0,0,41,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,58:34,0,0,0,6,5,0,26,8,1104,179,51,874,56,931,202,0.929,2.1234,41,1189,85,88.61386138613861,91.07142857142857,93.87755102040816,2635:09,0,0,0,0,46,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,57:17,0,0,0,5,4,0,27,13,1136,151,52,933,64,1009,172,0.91245,2.481832,45,1245,109,87.79069767441861,81.25,92.46778989098117,3173:05,0,0,0,0,54,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,58:45,0,0,0,5,3,0,34,14,1388,204,45,1139,52,1233,228,0.917383,2.363632,53,1513,125,89.47368421052632,86.53846153846155,92.37631792376317,3679:30,0,0,0,0,65,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,56:36,0,0,0,5,8,37,20,1473,222,35,1216,37,1323,250,0.914907,2.233999,64,1610,137,88.8,94.5945945945946,91.91232048374906,3678:03,0,0,0,0,64,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,57:28,0,0,0,8,4,31,22,1697,217,37,1443,39,1562,253,0.915318,2.56114,62,1854,157,85.7707509881423,94.87179487179486,92.38156209987196,4063:01,0,0,0,0,70,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,58:02,0,0,0,13,3,34,21,1855,238,44,1573,46,1692,273,0.922427,2.303707,67,2011,156,87.17948717948718,95.65217391304348,92.96690307328606,3386:27,0,0,0,0,58,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,58:23,0,0,0,6,7,36,15,1526,219,28,1279,31,1359,251,0.929921,2.037532,58,1641,115,87.25099601593625,90.32258064516128,94.11331861662987,7500000.0,7500000.0,7500000.0,7500000.0,7000000.0,6500000.0,6500000.0
Jeremy Swayman,Goalie,1998-11-24,22,Anchorage,AK,USA,"6' 2""",187,False,False,True,L,Y,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279102.0
Dustin Tokarski,Goalie,1989-09-16,31,Watson,SK,CAN,"6' 0""",198,False,False,False,L,Y,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,09:47,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,09:47,0,0,0,0,0,0,0,5,2,0,3,0,3,2,1.0,0.0,0,5,0,100.0,0.0,100.0,226:10,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,37:41,0,0,0,0,0,1,3,86,13,1,72,1,81,16,0.877551,3.183493,4,98,12,81.25,100.0,88.88888888888889,1004:58,0,0,0,0,17,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,59:06,0,0,0,4,0,6,6,463,70,11,382,11,420,78,0.909627,2.74636,16,509,46,89.74358974358975,100.0,90.95238095238095,163:06,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,54:22,0,0,0,0,1,2,0,88,17,4,67,4,71,18,0.946237,1.839362,2,93,5,94.44444444444444,100.0,94.36619718309859,0.0,0.0,0.0,0.0,0.0,0.0,287500.0
Carter Hutton,Goalie,1985-12-19,35,Thunder Bay,ON,CAN,"6' 0""",208,False,False,False,L,Y,1775:26,0,0,0,0,31,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,57:16,0,0,0,4,2,0,12,14,824,102,18,704,24,772,122,0.898,3.1767,30,918,94,83.60655737704919,75.0,91.19170984455958,2839:37,0,0,0,0,50,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,56:47,0,0,0,5,0,0,18,25,1399,173,36,1190,39,1306,196,0.907852,3.000405,48,1541,142,88.26530612244898,92.3076923076923,91.11791730474732,1609:32,0,0,0,0,32,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,50:17,0,0,0,3,3,0,17,7,754,101,26,627,29,670,111,0.930864,2.087562,26,810,56,90.990990990991,89.65517241379311,93.5820895522388,1459:03,0,0,0,0,30,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,48:38,0,0,0,2,4,13,8,605,99,14,492,15,536,112,0.912519,2.385114,21,663,58,88.39285714285714,93.33333333333333,91.7910447761194,978:56,0,0,0,0,17,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,57:35,0,0,0,4,2,7,5,426,52,15,359,16,392,56,0.918103,2.329066,15,464,38,92.85714285714286,93.75,91.58163265306123,1009:51,0,0,0,0,18,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,56:06,0,0,0,4,1,6,7,406,66,10,330,11,363,76,0.902222,2.61425,17,450,44,86.8421052631579,90.9090909090909,90.9090909090909,2085:17,0,0,0,0,40,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,52:07,0,0,0,4,1,20,11,915,118,12,785,12,855,139,0.909543,2.618349,34,1006,91,84.89208633093526,100.0,91.81286549707602,0.0,0.0,0.0,0.0,2750000.0,2750000.0,2750000.0
Linus Ullmark,Goalie,1993-07-31,27,Lugnvik,Unknown,SWE,"6' 4""",215,False,False,False,L,Y,2026:38,0,0,0,0,34,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,59:36,0,0,0,3,1,0,17,14,975,129,32,814,33,879,154,0.915,2.6941,34,1066,91,83.76623376623377,96.96969696969697,92.6052332195677,2102:06,0,0,0,0,37,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,56:48,0,0,0,5,2,0,15,14,1037,107,25,905,29,992,125,0.904887,3.111175,34,1146,109,85.6,86.20689655172413,91.22983870967742,240:18,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,48:03,0,0,0,0,0,0,1,2,115,6,1,108,1,114,8,0.934959,1.997503,3,123,8,75.0,100.0,94.73684210526315,58:44,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,58:44,0,0,0,0,0,0,1,33,5,2,26,3,28,5,0.916667,3.064699,1,36,3,100.0,66.66666666666666,92.85714285714286,1130:40,0,0,0,0,20,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,56:32,0,0,0,2,0,8,10,516,45,7,464,10,503,52,0.913274,2.600236,20,565,49,86.53846153846155,70.0,92.2465208747515,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600000.0
Carey Price,Goalie,1987-08-16,33,Anahim Lake,BC,CAN,"6' 3""",220,False,False,False,L,Y,3439:49,0,0,0,0,58,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,59:18,0,0,0,6,4,0,27,25,1595,242,43,1310,45,1434,276,0.909,2.7908,58,1755,160,87.68115942028986,95.55555555555556,91.35285913528591,3880:15,0,0,0,0,66,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,58:47,0,0,0,6,4,0,35,24,1791,243,55,1493,58,1622,272,0.91752,2.48953,64,1952,161,89.33823529411765,94.82758620689656,92.04685573366214,2854:37,0,0,0,0,49,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,58:15,0,0,0,7,1,0,16,26,1339,185,40,1114,43,1226,218,0.900471,3.11075,48,1487,148,84.86238532110092,93.02325581395348,90.86460032626428,3708:08,0,0,0,0,62,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,59:48,0,0,0,5,3,37,20,1656,228,38,1390,44,1487,263,0.923077,2.232929,62,1794,138,86.69201520912547,86.36363636363636,93.47679892400808,698:20,0,0,0,0,12,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,58:11,0,0,0,0,2,10,2,341,51,11,279,11,298,56,0.934247,2.062053,12,365,24,91.07142857142857,100.0,93.6241610738255,3976:33,0,0,0,0,66,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,60:15,0,0,0,6,9,44,16,1823,244,49,1530,52,1624,277,0.933436,1.961499,66,1953,130,88.08664259927798,94.23076923076923,94.21182266009852,3464:22,0,0,0,0,59,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,58:43,0,0,0,5,6,34,20,1694,264,49,1381,54,1479,295,0.926696,2.320771,59,1828,134,89.49152542372882,90.74074074074075,93.3739012846518,0.0,0.0,0.0,0.0,15000000.0,15000000.0,9750000.0
Anton Forsberg,Goalie,1992-11-27,28,HARNOSAND,Unknown,SWE,"6' 2""",176,False,False,False,L,Y,143:09,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,47:43,0,0,0,0,0,0,1,1,70,9,0,61,0,69,9,0.897,3.3531,3,78,8,100.0,0.0,88.40579710144928,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,1714:47,0,0,0,0,35,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,48:59,0,0,0,4,0,0,10,16,836,96,35,705,35,775,111,0.907709,2.974137,30,921,85,86.48648648648648,100.0,90.96774193548387,58:35,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,58:35,0,0,0,0,0,0,1,23,0,0,23,0,27,0,0.851852,4.096728,1,27,4,0.0,0.0,85.18518518518519,178:09,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,44:32,0,0,0,0,0,1,3,88,21,3,64,3,72,22,0.907216,3.031154,3,97,9,95.45454545454545,100.0,88.88888888888889,255:43,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,51:08,0,0,0,0,0,0,4,129,27,3,99,4,112,33,0.865772,4.692694,5,149,20,81.81818181818183,75.0,88.39285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150850.0
Marcus Hogberg,Goalie,1994-11-25,26,Orebro,Unknown,SWE,"6' 5""",222,False,False,True,L,Y,1344:33,0,0,0,0,24,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,56:01,0,0,0,8,0,0,5,8,658,73,13,572,14,625,89,0.904,3.1237,21,728,70,82.02247191011236,92.85714285714286,91.52,205:30,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,51:22,0,0,0,1,0,0,0,2,107,9,3,95,4,105,12,0.884298,4.087591,4,121,14,75.0,75.0,90.47619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474138.0,700000.0
Jack Campbell,Goalie,1992-01-09,29,Port Huron,MI,USA,"6' 2""",197,False,False,False,L,Y,1566:59,0,0,0,0,26,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,60:16,0,0,0,3,0,0,11,12,688,72,21,595,22,653,86,0.904,2.7952,26,761,73,83.72093023255815,95.45454545454545,91.11791730474732,1592:46,0,0,0,0,31,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,51:22,0,0,0,1,2,0,10,14,784,102,16,666,18,714,113,0.927811,2.297888,25,845,61,90.2654867256637,88.88888888888889,93.27731092436974,266:37,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,53:19,0,0,0,2,0,0,2,0,134,23,12,99,12,110,23,0.924138,2.475464,4,145,11,100.0,100.0,90.0,20:00,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,20:00,0,0,0,0,0,0,0,5,1,0,4,0,4,1,1.0,0.0,0,5,0,100.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,60:00,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,60:00,0,0,0,0,0,0,1,41,14,1,26,2,29,16,0.87234,6.0,1,47,6,87.5,50.0,89.65517241379311,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0
David Rittich,Goalie,1992-08-19,28,Jihlava,Unknown,CZE,"6' 3""",206,False,False,False,L,Y,2791:58,0,0,0,0,48,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,58:09,0,0,0,6,2,0,24,17,1340,187,40,1113,47,1219,212,0.907,2.9657,48,1478,138,88.20754716981132,85.1063829787234,91.30434782608695,2503:20,0,0,0,0,45,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,55:37,0,0,0,5,1,0,27,9,1119,137,41,941,46,1020,162,0.911238,2.612517,42,1228,109,84.5679012345679,89.13043478260869,92.25490196078432,1008:14,0,0,0,0,21,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,48:00,0,0,0,3,0,0,8,6,463,74,12,377,13,415,84,0.904297,2.915992,16,512,49,88.09523809523809,92.3076923076923,90.8433734939759,20:00,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,20:00,0,0,0,0,0,0,0,9,3,0,6,0,6,4,0.9,3.0,0,10,1,75.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750000.0,616382.0
David Rittich,Goalie,1992-08-19,28,Jihlava,Unknown,CZE,"6' 3""",206,False,False,False,L,Y,2791:58,0,0,0,0,48,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,58:09,0,0,0,6,2,0,24,17,1340,187,40,1113,47,1219,212,0.907,2.9657,48,1478,138,88.20754716981132,85.1063829787234,91.30434782608695,2503:20,0,0,0,0,45,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,55:37,0,0,0,5,1,0,27,9,1119,137,41,941,46,1020,162,0.911238,2.612517,42,1228,109,84.5679012345679,89.13043478260869,92.25490196078432,1008:14,0,0,0,0,21,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,48:00,0,0,0,3,0,0,8,6,463,74,12,377,13,415,84,0.904297,2.915992,16,512,49,88.09523809523809,92.3076923076923,90.8433734939759,20:00,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,20:00,0,0,0,0,0,0,0,9,3,0,6,0,6,4,0.9,3.0,0,10,1,75.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750000.0,616382.0
