,index,name,birthDate,currentAge,birthCity,birthStateProvince,birthCountry,height,weight,alternateCaptain,captain,rookie,shootsCatches,timeOnIce22,assists22,goals22,pim22,shots22,games22,hits22,powerPlayGoals22,powerPlayPoints22,powerPlayTimeOnIce22,evenTimeOnIce22,penaltyMinutes22,faceOffPct22,shotPct22,gameWinningGoals22,overTimeGoals22,shortHandedGoals22,shortHandedPoints22,shortHandedTimeOnIce22,blocked22,plusMinus22,points22,shifts22,timeOnIcePerGame22,evenTimeOnIcePerGame22,shortHandedTimeOnIcePerGame22,powerPlayTimeOnIcePerGame22,timeOnIce21,assists21,goals21,pim21,shots21,games21,hits21,powerPlayGoals21,powerPlayPoints21,powerPlayTimeOnIce21,evenTimeOnIce21,penaltyMinutes21,faceOffPct21,shotPct21,gameWinningGoals21,overTimeGoals21,shortHandedGoals21,shortHandedPoints21,shortHandedTimeOnIce21,blocked21,plusMinus21,points21,shifts21,timeOnIcePerGame21,evenTimeOnIcePerGame21,shortHandedTimeOnIcePerGame21,powerPlayTimeOnIcePerGame21,timeOnIce20,assists20,goals20,pim20,shots20,games20,hits20,powerPlayGoals20,powerPlayPoints20,powerPlayTimeOnIce20,evenTimeOnIce20,penaltyMinutes20,faceOffPct20,shotPct20,gameWinningGoals20,overTimeGoals20,shortHandedGoals20,shortHandedPoints20,shortHandedTimeOnIce20,blocked20,plusMinus20,points20,shifts20,timeOnIcePerGame20,evenTimeOnIcePerGame20,shortHandedTimeOnIcePerGame20,powerPlayTimeOnIcePerGame20,timeOnIce19,assists19,goals19,pim19,shots19,games19,hits19,powerPlayGoals19,powerPlayPoints19,powerPlayTimeOnIce19,evenTimeOnIce19,penaltyMinutes19,faceOffPct19,shotPct19,gameWinningGoals19,overTimeGoals19,shortHandedGoals19,shortHandedPoints19,shortHandedTimeOnIce19,blocked19,plusMinus19,points19,shifts19,timeOnIcePerGame19,evenTimeOnIcePerGame19,shortHandedTimeOnIcePerGame19,powerPlayTimeOnIcePerGame19,timeOnIce18,assists18,goals18,pim18,shots18,games18,hits18,powerPlayGoals18,powerPlayPoints18,powerPlayTimeOnIce18,evenTimeOnIce18,penaltyMinutes18,faceOffPct18,shotPct18,gameWinningGoals18,overTimeGoals18,shortHandedGoals18,shortHandedPoints18,shortHandedTimeOnIce18,blocked18,plusMinus18,points18,shifts18,timeOnIcePerGame18,evenTimeOnIcePerGame18,shortHandedTimeOnIcePerGame18,powerPlayTimeOnIcePerGame18,timeOnIce17,assists17,goals17,pim17,shots17,games17,hits17,powerPlayGoals17,powerPlayPoints17,powerPlayTimeOnIce17,evenTimeOnIce17,penaltyMinutes17,faceOffPct17,shotPct17,gameWinningGoals17,overTimeGoals17,shortHandedGoals17,shortHandedPoints17,shortHandedTimeOnIce17,blocked17,plusMinus17,points17,shifts17,timeOnIcePerGame17,evenTimeOnIcePerGame17,shortHandedTimeOnIcePerGame17,powerPlayTimeOnIcePerGame17,Salary_2021-22,height_inches
89,188,Defenseman,2000,21,Lidkoping,Unknown,SWE,"6' 3""",207,False,False,False,Left,1921.09,40.0,13.0,68.0,170.0,80.0,121.0,3.0,21.0,246.42,1601.29,68.0,0.0,7.6,3.0,1.0,0.0,1.0,72.58,91.0,-22.0,53.0,2317.0,24.0,20.01,0.54,3.05,1210.03,18.0,5.0,26.0,115.0,56.0,80.0,1.0,11.0,171.51,1033.32,26.0,0.0,4.3,0.0,0.0,0.0,0.0,4.4,45.0,-36.0,23.0,1242.0,21.36,18.27,0.05,3.04,1138.26,36.0,4.0,38.0,90.0,59.0,72.0,2.0,19.0,198.1,934.32,38.0,0.0,4.4,1.0,0.0,0.0,0.0,5.44,51.0,-7.0,40.0,1217.0,19.17,15.5,0.05,3.21,1734.45,35.0,9.0,34.0,177.0,82.0,97.0,5.0,20.0,233.49,1487.57,34.0,0.0,5.08,4.0,0.0,0.0,0.0,12.59,66.0,-13.0,44.0,1905.0,21.09,18.08,0.09,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000.0,75
90,192,Right Wing,1985,36,Peterborough,ON,CAN,"6' 3""",206,False,False,False,Right,1108.02,21.0,19.0,66.0,153.0,82.0,73.0,6.0,8.0,141.23,965.51,66.0,50.0,12.4,4.0,0.0,0.0,0.0,0.48,28.0,9.0,40.0,1412.0,13.3,11.46,0.0,1.43,673.13,12.0,9.0,39.0,62.0,49.0,56.0,1.0,7.0,104.56,566.46,39.0,0.0,14.5,1.0,0.0,0.0,0.0,1.31,15.0,-4.0,21.0,876.0,13.44,11.34,0.01,2.08,782.16,16.0,5.0,70.0,77.0,57.0,60.0,1.0,7.0,121.47,659.37,70.0,40.0,6.5,0.0,0.0,0.0,0.0,0.52,33.0,-2.0,21.0,1070.0,13.43,11.34,0.0,2.08,459.3,4.0,6.0,27.0,59.0,31.0,21.0,2.0,4.0,56.32,402.4,27.0,0.0,10.17,1.0,0.0,0.0,0.0,0.18,14.0,-16.0,10.0,572.0,14.49,12.59,0.0,1.49,1262.1,32.0,17.0,71.0,168.0,71.0,59.0,4.0,11.0,189.1,1070.55,71.0,12.5,10.12,1.0,0.0,0.0,0.0,2.05,36.0,-4.0,49.0,1559.0,17.46,15.05,0.01,2.39,1452.42,34.0,19.0,76.0,215.0,82.0,81.0,5.0,20.0,236.46,1213.3,76.0,35.0,8.84,3.0,0.0,0.0,0.0,2.26,35.0,2.0,53.0,1812.0,17.42,14.47,0.01,2.53,1000000.0,75
91,197,Left Wing,1990,30,Ilava,Unknown,Other,"5' 10""",173,False,False,False,Left,1127.15,15.0,15.0,22.0,132.0,76.0,75.0,2.0,5.0,141.43,985.05,22.0,38.0,11.4,1.0,0.0,0.0,0.0,0.27,28.0,-22.0,30.0,1613.0,14.49,12.57,0.0,1.51,749.21,20.0,10.0,8.0,82.0,50.0,63.0,2.0,8.0,100.27,647.03,8.0,44.44,12.2,1.0,0.0,0.0,0.0,1.51,20.0,0.0,30.0,1015.0,14.59,12.56,0.02,2.0,1108.0,39.0,22.0,36.0,162.0,68.0,79.0,8.0,14.0,148.38,957.27,36.0,36.0,13.6,1.0,0.0,0.0,0.0,1.55,24.0,5.0,61.0,1512.0,16.17,14.04,0.01,2.11,1312.45,33.0,25.0,34.0,195.0,80.0,77.0,4.0,8.0,180.5,1129.23,34.0,25.64,12.82,4.0,0.0,0.0,0.0,2.32,30.0,21.0,58.0,1737.0,16.24,14.07,0.01,2.15,1333.46,14.0,20.0,34.0,174.0,82.0,67.0,9.0,13.0,181.32,1150.31,34.0,13.33,11.49,4.0,1.0,0.0,0.0,1.43,29.0,-19.0,34.0,1770.0,16.15,14.01,0.01,2.12,1416.44,21.0,25.0,26.0,166.0,82.0,92.0,5.0,8.0,194.3,1218.23,26.0,61.53,15.06,5.0,0.0,0.0,0.0,3.51,24.0,-8.0,46.0,1922.0,17.16,14.51,0.02,2.22,3750000.0,70
92,198,Defenseman,1991,30,Hamilton,ON,CAN,"6' 3""",234,False,False,False,Left,1691.09,17.0,9.0,48.0,143.0,74.0,157.0,2.0,3.0,72.37,1399.06,48.0,0.0,6.3,1.0,1.0,0.0,1.0,219.26,130.0,-14.0,26.0,1912.0,22.51,18.54,2.57,0.58,893.17,6.0,1.0,50.0,81.0,41.0,77.0,1.0,1.0,9.51,771.35,50.0,0.0,1.2,0.0,0.0,0.0,0.0,111.51,60.0,-16.0,7.0,998.0,21.47,18.49,2.43,0.14,1596.13,12.0,9.0,61.0,130.0,69.0,152.0,0.0,0.0,18.36,1367.13,61.0,0.0,6.9,3.0,2.0,0.0,0.0,210.24,128.0,5.0,21.0,1740.0,23.08,19.48,3.02,0.16,1452.04,15.0,5.0,62.0,111.0,78.0,171.0,0.0,0.0,2.07,1314.15,62.0,0.0,4.5,1.0,0.0,0.0,1.0,135.42,139.0,6.0,20.0,1629.0,18.36,16.5,1.44,0.01,870.44,12.0,2.0,32.0,57.0,57.0,105.0,0.0,0.0,3.0,792.23,32.0,0.0,3.51,0.0,0.0,0.0,0.0,75.21,75.0,15.0,14.0,1058.0,15.16,13.54,1.19,0.03,903.57,10.0,2.0,33.0,49.0,59.0,78.0,0.0,0.0,1.41,785.51,33.0,0.0,4.08,0.0,0.0,0.0,0.0,116.25,94.0,2.0,12.0,1166.0,15.19,13.19,1.58,0.01,550000.0,75
93,199,Right Wing,1992,29,Scarborough,ON,CAN,"6' 0""",198,False,False,False,Right,1206.27,29.0,20.0,14.0,195.0,74.0,81.0,8.0,16.0,180.17,945.36,14.0,52.94,10.3,1.0,0.0,2.0,3.0,80.34,24.0,-5.0,49.0,1687.0,16.18,12.46,1.05,2.26,911.14,16.0,28.0,24.0,158.0,52.0,75.0,7.0,10.0,125.2,745.05,24.0,38.88,17.7,5.0,0.0,2.0,3.0,40.49,12.0,0.0,44.0,1181.0,17.31,14.19,0.47,2.24,1145.42,20.0,24.0,20.0,203.0,68.0,48.0,5.0,10.0,147.18,936.21,20.0,28.57,11.8,4.0,1.0,0.0,0.0,62.03,16.0,-1.0,44.0,1550.0,16.5,13.46,0.54,2.09,1411.25,21.0,13.0,23.0,226.0,82.0,39.0,3.0,5.0,168.53,1136.59,23.0,47.05,5.75,3.0,2.0,0.0,0.0,105.33,23.0,-16.0,34.0,1902.0,17.12,13.51,1.17,2.03,1321.44,23.0,24.0,16.0,251.0,82.0,75.0,6.0,12.0,156.57,1126.2,16.0,36.0,9.56,6.0,1.0,0.0,0.0,38.27,17.0,9.0,47.0,1794.0,16.07,13.44,0.28,1.54,1044.54,18.0,16.0,22.0,165.0,63.0,54.0,4.0,7.0,143.27,835.06,22.0,40.0,9.7,2.0,1.0,0.0,1.0,66.21,4.0,6.0,34.0,1380.0,16.35,13.15,1.03,2.16,1896250.0,72
94,205,Center,1993,28,Victoriaville,QC,CAN,"6' 1""",200,False,False,False,Left,1431.56,24.0,27.0,38.0,194.0,79.0,74.0,2.0,4.0,161.47,1135.33,38.0,53.56,13.9,5.0,0.0,0.0,3.0,134.36,49.0,14.0,51.0,1905.0,18.07,14.22,1.42,2.02,894.05,19.0,5.0,24.0,73.0,53.0,76.0,0.0,0.0,17.11,755.32,24.0,52.48,6.8,0.0,0.0,0.0,1.0,121.22,28.0,9.0,24.0,1259.0,16.52,14.15,2.17,0.19,1337.56,34.0,13.0,32.0,131.0,71.0,119.0,1.0,4.0,111.03,1048.41,32.0,54.49,9.9,1.0,0.0,0.0,0.0,178.12,37.0,18.0,47.0,1814.0,18.5,14.46,2.3,1.33,1439.58,41.0,12.0,39.0,132.0,81.0,95.0,0.0,4.0,39.05,1198.21,39.0,55.54,9.09,1.0,0.0,0.0,2.0,202.32,60.0,17.0,53.0,2017.0,17.46,14.47,2.3,0.28,862.34,17.0,8.0,34.0,94.0,52.0,59.0,0.0,2.0,52.56,713.47,34.0,52.77,8.51,2.0,0.0,1.0,1.0,95.51,38.0,0.0,25.0,1151.0,16.35,13.43,1.5,1.01,1277.42,27.0,13.0,35.0,133.0,82.0,76.0,0.0,2.0,50.56,1135.15,35.0,51.69,9.77,3.0,1.0,0.0,1.0,91.31,52.0,5.0,40.0,1799.0,15.34,13.5,1.06,0.37,4000000.0,73
95,206,Defenseman,1994,27,Edmonton,AB,CAN,"6' 1""",192,False,False,False,Left,1313.51,16.0,5.0,45.0,92.0,74.0,103.0,0.0,0.0,5.18,1228.25,45.0,0.0,5.4,0.0,0.0,0.0,1.0,80.08,63.0,-4.0,21.0,1555.0,17.45,16.36,1.04,0.04,740.57,6.0,2.0,20.0,57.0,46.0,28.0,0.0,0.0,1.17,737.59,20.0,0.0,3.5,0.0,0.0,0.0,0.0,1.41,54.0,3.0,8.0,882.0,16.06,16.02,0.02,0.01,959.49,7.0,0.0,12.0,101.0,56.0,59.0,0.0,0.0,3.06,944.41,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.02,50.0,-1.0,7.0,1091.0,17.08,16.52,0.12,0.03,1017.03,11.0,6.0,31.0,102.0,57.0,107.0,0.0,0.0,2.41,988.57,31.0,0.0,5.88,3.0,0.0,1.0,1.0,25.25,64.0,12.0,17.0,1275.0,17.5,17.21,0.26,0.02,921.59,6.0,2.0,27.0,73.0,71.0,45.0,0.0,0.0,3.01,900.43,27.0,0.0,2.74,0.0,0.0,0.0,0.0,18.15,49.0,-3.0,8.0,1224.0,12.59,12.41,0.15,0.02,299.05,3.0,0.0,12.0,19.0,21.0,14.0,0.0,0.0,6.02,290.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,13.0,-3.0,3.0,415.0,14.14,13.5,0.06,0.17,429000.0,73
96,207,Defenseman,1992,29,Nynashamn,Unknown,SWE,"6' 0""",197,False,False,False,Left,956.52,15.0,3.0,14.0,79.0,59.0,45.0,0.0,4.0,113.44,838.32,14.0,0.0,3.8,0.0,0.0,0.0,0.0,4.36,55.0,-4.0,18.0,1189.0,16.13,14.12,0.04,1.55,484.4,11.0,1.0,0.0,33.0,29.0,21.0,0.0,5.0,68.17,415.59,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.24,21.0,-1.0,12.0,626.0,16.42,14.2,0.0,2.21,1345.1,23.0,6.0,27.0,103.0,66.0,86.0,2.0,9.0,177.48,1155.45,27.0,0.0,5.8,0.0,0.0,0.0,0.0,11.37,58.0,-9.0,29.0,1505.0,20.22,17.3,0.1,2.41,1784.11,43.0,17.0,34.0,160.0,79.0,100.0,4.0,18.0,239.38,1535.27,34.0,0.0,10.63,3.0,2.0,0.0,0.0,9.06,115.0,-6.0,60.0,2019.0,22.35,19.26,0.06,3.02,649.26,11.0,5.0,6.0,71.0,35.0,30.0,0.0,4.0,49.36,598.49,6.0,0.0,7.04,0.0,0.0,0.0,0.0,1.01,45.0,1.0,16.0,869.0,18.33,17.06,0.01,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,800000.0,72
97,209,Left Wing,1995,26,Piikkio,Unknown,FIN,"5' 11""",178,False,False,False,Left,1117.09,19.0,19.0,22.0,155.0,74.0,82.0,2.0,3.0,75.32,901.54,22.0,27.58,12.3,2.0,0.0,2.0,2.0,139.43,39.0,1.0,38.0,1561.0,15.05,12.11,1.53,1.01,630.55,6.0,7.0,6.0,78.0,47.0,85.0,0.0,0.0,4.39,531.07,6.0,38.46,9.0,0.0,0.0,2.0,3.0,95.09,23.0,-2.0,13.0,914.0,13.25,11.18,2.01,0.05,1079.57,14.0,13.0,24.0,140.0,70.0,120.0,0.0,0.0,12.4,898.07,24.0,46.15,9.3,1.0,0.0,1.0,1.0,169.1,38.0,2.0,27.0,1522.0,15.25,12.49,2.25,0.1,1275.43,20.0,11.0,32.0,176.0,82.0,120.0,0.0,0.0,44.48,1045.06,32.0,26.31,6.25,4.0,0.0,0.0,0.0,185.49,39.0,10.0,31.0,1780.0,15.33,12.44,2.15,0.32,1088.08,9.0,12.0,20.0,164.0,66.0,71.0,3.0,4.0,127.46,859.15,20.0,36.66,7.32,3.0,0.0,1.0,1.0,101.07,23.0,-11.0,21.0,1452.0,16.29,13.01,1.31,1.56,1011.42,10.0,18.0,8.0,158.0,73.0,72.0,2.0,4.0,67.22,911.28,8.0,50.0,11.39,3.0,0.0,1.0,1.0,32.52,25.0,-1.0,28.0,1488.0,13.51,12.29,0.27,0.55,448500.0,71
98,215,Center,1990,31,Hastings,MN,USA,"5' 11""",196,False,False,False,Right,626.09,10.0,9.0,14.0,96.0,58.0,29.0,0.0,0.0,1.38,567.42,14.0,55.85,9.4,0.0,0.0,0.0,0.0,56.49,25.0,0.0,19.0,918.0,10.47,9.47,0.58,0.01,301.17,5.0,1.0,8.0,44.0,20.0,25.0,0.0,2.0,42.42,234.29,8.0,50.0,2.3,0.0,0.0,0.0,0.0,24.06,16.0,-6.0,6.0,432.0,15.03,11.43,1.12,2.08,1234.57,18.0,10.0,16.0,158.0,70.0,43.0,1.0,7.0,117.33,978.28,16.0,47.53,6.3,2.0,1.0,1.0,1.0,138.56,54.0,-4.0,28.0,1677.0,17.38,13.58,1.59,1.4,1384.06,20.0,15.0,14.0,195.0,72.0,50.0,1.0,3.0,195.18,1050.21,14.0,47.31,7.69,3.0,1.0,3.0,3.0,138.27,51.0,-2.0,35.0,1845.0,19.13,14.35,1.55,2.42,1579.55,42.0,14.0,26.0,209.0,82.0,52.0,3.0,18.0,213.14,1269.3,26.0,47.74,6.7,2.0,0.0,2.0,2.0,97.11,54.0,-7.0,56.0,2122.0,19.16,15.28,1.11,2.36,1507.17,38.0,17.0,16.0,209.0,81.0,26.0,4.0,18.0,205.42,1190.13,16.0,47.04,8.13,2.0,0.0,1.0,1.0,111.22,45.0,19.0,55.0,2057.0,18.36,14.41,1.22,2.32,1350000.0,71
99,219,Right Wing,1989,32,Chelyabinsk,Unknown,RUS,"5' 11""",185,False,False,False,Left,1234.08,23.0,20.0,18.0,177.0,78.0,65.0,5.0,8.0,186.34,1047.22,18.0,20.0,11.3,4.0,2.0,0.0,0.0,0.12,25.0,4.0,43.0,1556.0,15.49,13.25,0.0,2.23,856.5,7.0,13.0,4.0,89.0,55.0,38.0,0.0,1.0,161.3,694.5,4.0,0.0,14.6,3.0,1.0,0.0,0.0,0.3,26.0,-9.0,20.0,1099.0,15.34,12.38,0.0,2.56,1180.16,22.0,25.0,10.0,167.0,69.0,29.0,11.0,17.0,230.33,948.59,10.0,0.0,15.0,2.0,0.0,0.0,0.0,0.44,24.0,-7.0,47.0,1399.0,17.06,13.45,0.0,3.2,1506.26,42.0,28.0,8.0,195.0,82.0,33.0,8.0,17.0,275.09,1230.31,8.0,40.0,14.36,4.0,0.0,0.0,0.0,0.46,42.0,-6.0,70.0,1834.0,18.22,15.0,0.0,3.21,1383.43,37.0,28.0,8.0,188.0,74.0,27.0,6.0,13.0,245.47,1137.42,8.0,0.0,14.89,6.0,0.0,0.0,0.0,0.14,33.0,10.0,65.0,1669.0,18.41,15.22,0.0,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000.0,71
100,221,Center,1994,27,Keswick,ON,CAN,"6' 1""",204,False,False,False,Left,869.01,12.0,6.0,14.0,72.0,70.0,42.0,3.0,5.0,95.16,759.22,14.0,49.71,8.3,2.0,0.0,0.0,0.0,14.23,30.0,-12.0,18.0,1195.0,12.24,10.5,0.12,1.21,824.27,13.0,6.0,8.0,53.0,55.0,23.0,0.0,0.0,7.15,706.32,8.0,45.59,11.3,3.0,0.0,0.0,1.0,110.4,32.0,-12.0,19.0,1145.0,14.59,12.5,2.0,0.07,1220.29,26.0,11.0,20.0,102.0,71.0,44.0,1.0,2.0,66.54,988.37,20.0,51.17,10.8,2.0,1.0,4.0,5.0,164.58,37.0,-6.0,37.0,1743.0,17.11,13.55,2.19,0.56,1379.29,39.0,9.0,26.0,116.0,81.0,30.0,0.0,10.0,139.28,1102.58,26.0,50.91,7.76,1.0,0.0,0.0,0.0,137.03,54.0,-22.0,48.0,1737.0,17.01,13.37,1.41,1.43,1311.59,23.0,17.0,8.0,118.0,82.0,26.0,3.0,7.0,81.18,1102.37,8.0,51.04,14.41,2.0,0.0,2.0,4.0,128.04,45.0,0.0,40.0,1863.0,15.59,13.26,1.33,0.59,1168.18,12.0,11.0,6.0,90.0,80.0,50.0,1.0,1.0,21.53,1003.13,6.0,48.54,12.22,2.0,0.0,1.0,2.0,143.12,44.0,0.0,23.0,1722.0,14.36,12.32,1.47,0.16,4200000.0,73
101,222,Right Wing,1994,27,Toronto,ON,CAN,"6' 0""",185,False,False,False,Right,1283.38,29.0,10.0,10.0,121.0,64.0,14.0,0.0,9.0,132.34,982.35,10.0,36.09,8.3,0.0,0.0,1.0,4.0,168.29,37.0,-15.0,39.0,1570.0,20.03,15.21,2.37,2.04,1021.34,14.0,21.0,12.0,123.0,56.0,22.0,1.0,4.0,76.26,781.28,12.0,44.44,17.1,1.0,0.0,5.0,5.0,163.4,30.0,1.0,35.0,1333.0,18.14,13.57,2.55,1.21,1428.09,27.0,16.0,24.0,173.0,71.0,39.0,3.0,4.0,118.24,1124.38,24.0,42.64,9.2,1.0,0.0,0.0,2.0,185.07,35.0,-6.0,43.0,1922.0,20.06,15.5,2.36,1.4,1130.57,21.0,8.0,16.0,85.0,82.0,35.0,0.0,1.0,20.06,950.12,16.0,39.21,9.41,0.0,0.0,0.0,3.0,160.39,37.0,11.0,29.0,1632.0,13.47,11.35,1.57,0.14,1231.06,14.0,14.0,18.0,119.0,82.0,23.0,1.0,2.0,95.47,985.11,18.0,38.81,11.76,2.0,0.0,1.0,1.0,150.08,28.0,0.0,28.0,1790.0,15.0,12.0,1.49,1.1,1328.53,16.0,20.0,10.0,139.0,82.0,50.0,2.0,6.0,101.0,1064.14,10.0,25.0,14.39,4.0,0.0,1.0,1.0,163.39,46.0,3.0,36.0,1940.0,16.12,12.58,1.59,1.13,4000000.0,72
102,227,Defenseman,1997,24,Sainte-Marie,QC,CAN,"6' 2""",190,False,False,False,Left,1545.2,31.0,7.0,26.0,173.0,59.0,73.0,1.0,13.0,205.11,1330.11,26.0,0.0,4.0,1.0,0.0,0.0,0.0,9.58,93.0,-3.0,38.0,1555.0,26.11,22.32,0.1,3.28,1287.55,25.0,6.0,36.0,120.0,49.0,68.0,1.0,7.0,167.54,1107.45,36.0,0.0,5.0,1.0,0.0,0.0,0.0,12.16,72.0,-15.0,31.0,1307.0,26.17,22.36,0.15,3.25,1846.16,33.0,6.0,42.0,186.0,71.0,79.0,0.0,11.0,231.17,1597.41,42.0,0.0,3.2,0.0,0.0,0.0,0.0,17.18,85.0,-18.0,39.0,1935.0,26.0,22.3,0.14,3.15,1700.13,41.0,14.0,32.0,185.0,70.0,71.0,1.0,16.0,205.41,1452.51,32.0,0.0,7.57,2.0,1.0,1.0,1.0,41.41,112.0,-12.0,55.0,1936.0,24.17,20.45,0.35,2.56,1103.11,16.0,9.0,14.0,94.0,63.0,44.0,0.0,8.0,118.13,975.25,14.0,0.0,9.57,0.0,0.0,0.0,0.0,9.33,64.0,-12.0,25.0,1441.0,17.3,15.28,0.09,1.52,7.09,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,7.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,13.0,7.09,7.09,0.0,0.0,7000000.0,74
103,228,Defenseman,1998,23,Woodbridge,ON,CAN,"5' 9""",184,False,False,False,Left,541.06,7.0,0.0,4.0,27.0,37.0,13.0,0.0,1.0,15.33,465.03,4.0,0.0,0.0,0.0,0.0,0.0,0.0,60.3,38.0,-19.0,7.0,759.0,14.37,12.34,1.38,0.25,442.22,4.0,1.0,8.0,20.0,28.0,19.0,0.0,0.0,11.2,407.22,8.0,0.0,5.0,0.0,0.0,0.0,0.0,23.4,35.0,8.0,5.0,589.0,15.47,14.32,0.5,0.24,815.36,7.0,4.0,20.0,57.0,51.0,20.0,0.0,1.0,3.2,780.36,20.0,0.0,7.0,1.0,0.0,0.0,0.0,31.4,60.0,5.0,11.0,1068.0,15.59,15.18,0.37,0.03,1261.53,13.0,0.0,6.0,65.0,71.0,21.0,0.0,0.0,22.1,1176.51,6.0,0.0,0.0,0.0,0.0,0.0,0.0,62.52,95.0,17.0,13.0,1650.0,17.46,16.34,0.53,0.18,763.44,7.0,0.0,4.0,43.0,49.0,1.0,0.0,4.0,68.5,688.44,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,71.0,5.0,7.0,1051.0,15.35,14.03,0.07,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000.0,69
104,229,Defenseman,1991,29,Moscow,Unknown,RUS,"6' 2""",199,False,False,False,Right,1177.23,9.0,2.0,28.0,65.0,62.0,128.0,0.0,0.0,3.24,999.3,28.0,0.0,3.1,0.0,0.0,0.0,2.0,174.29,103.0,-7.0,11.0,1520.0,18.59,16.07,2.48,0.03,1250.42,13.0,4.0,26.0,70.0,55.0,114.0,0.0,0.0,12.1,1080.0,26.0,0.0,5.7,1.0,0.0,0.0,1.0,158.32,110.0,-13.0,17.0,1506.0,22.44,19.38,2.52,0.13,1284.52,11.0,1.0,22.0,64.0,58.0,108.0,0.0,0.0,7.56,1103.07,22.0,0.0,1.6,0.0,0.0,0.0,0.0,173.49,121.0,-8.0,12.0,1566.0,22.09,19.01,2.59,0.08,1658.22,11.0,3.0,18.0,71.0,81.0,139.0,0.0,0.0,5.37,1421.32,18.0,0.0,4.23,0.0,0.0,0.0,0.0,231.13,151.0,2.0,14.0,2145.0,20.28,17.32,2.51,0.04,1333.03,8.0,5.0,31.0,54.0,60.0,113.0,0.0,0.0,14.04,1142.15,31.0,0.0,9.26,1.0,0.0,0.0,0.0,176.44,134.0,8.0,13.0,1706.0,22.13,19.02,2.56,0.14,1805.32,32.0,4.0,38.0,106.0,82.0,176.0,1.0,12.0,164.14,1500.18,38.0,0.0,3.77,0.0,0.0,0.0,1.0,141.0,136.0,-22.0,36.0,2438.0,22.01,18.17,1.43,2.0,4500000.0,74
105,231,Center,1999,22,Oxford,MI,USA,"6' 1""",201,False,False,True,Left,1226.13,20.0,35.0,16.0,172.0,66.0,79.0,16.0,23.0,213.21,975.14,16.0,51.06,20.3,8.0,1.0,0.0,0.0,37.38,44.0,-7.0,55.0,1609.0,18.34,14.46,0.34,3.13,922.14,18.0,17.0,13.0,96.0,56.0,72.0,6.0,14.0,141.33,774.01,13.0,52.34,17.7,2.0,1.0,0.0,0.0,6.4,34.0,-12.0,35.0,1248.0,16.28,13.49,0.07,2.31,53.45,0.0,0.0,0.0,9.0,3.0,3.0,0.0,0.0,8.24,45.21,0.0,61.22,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,69.0,17.55,15.07,0.0,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925000.0,73
106,233,Right Wing,1998,23,Fort Wayne,IN,USA,"6' 1""",204,False,False,False,Right,870.43,27.0,17.0,32.0,110.0,46.0,89.0,3.0,14.0,150.3,719.14,32.0,41.86,15.5,3.0,1.0,0.0,0.0,0.59,15.0,4.0,44.0,1061.0,18.55,15.38,0.01,3.16,922.32,17.0,17.0,8.0,111.0,56.0,102.0,5.0,15.0,181.13,740.59,8.0,38.46,15.3,3.0,0.0,0.0,0.0,0.2,29.0,-17.0,34.0,1161.0,16.28,13.13,0.0,3.14,357.57,7.0,3.0,13.0,32.0,23.0,51.0,1.0,6.0,51.11,306.28,13.0,57.14,9.4,0.0,0.0,0.0,0.0,0.18,11.0,-12.0,10.0,500.0,15.33,13.19,0.0,2.13,268.18,6.0,3.0,6.0,18.0,20.0,17.0,2.0,3.0,37.31,230.47,6.0,75.0,16.67,2.0,0.0,0.0,0.0,0.0,21.0,-2.0,9.0,338.0,13.24,11.32,0.0,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000.0,73
